;Neighborhood;Densidad_Poblacion;bar;bus;cafe;clothes_shop;dog_parks;gym_fitness;hospitals;luxury_shops;nightclub;parks;private_school;pub;public_transport;restaurants;school;supermarkets;Crimenes_Barrio;Avg_price;security
39;HOLLYWOOD HILLS WEST NC;0.07857808880983304;0.09090909090909091;0.1841541755888651;0.16666666666666669;0.10256410256410256;0.0;0.16666666666666666;0.0;0.0;0.4;0.16666666666666666;0.3333333333333333;0.1;0.30303030303030304;0.2346938775510204;0.08571428571428572;0.18181818181818182;0.23328105833579182;0.18375652008241858;0.7667189416642082
40;HOLLYWOOD STUDIO DISTRICT NC;0.4152207658764627;0.09090909090909091;0.14346895074946467;0.13636363636363635;0.0;0.0;0.027777777777777776;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.11224489795918366;0.08571428571428572;0.18181818181818182;0.13926369889601417;0.18375652008241858;0.8607363011039858
41;HOLLYWOOD UNITED NC;0.025019243361410263;0.030303030303030304;0.1563169164882227;0.13636363636363635;0.01282051282051282;0.14285714285714285;0.1111111111111111;0.0;0.0;0.0;0.09523809523809523;0.0;0.0;0.0;0.05612244897959183;0.02857142857142857;0.2727272727272727;0.11011909383103273;0.18375652008241858;0.8898809061689673
42;LA-32 NC;0.16567163764370707;0.0;0.15203426124197003;0.015151515151515152;0.0;0.0;0.05555555555555555;0.0;0.0;0.0;0.19047619047619047;0.0;0.0;0.09090909090909091;0.015306122448979591;0.45714285714285713;0.0;0.09007344378367468;0.3303381178916024;0.9099265562163253
43;LAKE BALBOA NC;0.07467073688126573;0.0;0.3019271948608137;0.030303030303030304;0.0;1.0;0.19444444444444442;0.0;0.0;0.0;0.42857142857142855;0.3333333333333333;0.0;0.12121212121212122;0.09693877551020408;0.45714285714285713;0.5454545454545454;0.14786578264987657;0.13589548471218046;0.8521342173501234
44;LINCOLN HEIGHTS NC;0.18138845101234904;0.030303030303030304;0.2826552462526767;0.045454545454545456;0.02564102564102564;0.0;0.05555555555555555;0.6000000000000001;0.0;0.0;0.42857142857142855;0.6666666666666666;0.0;0.030303030303030304;0.06632653061224489;0.2571428571428571;0.18181818181818182;0.09938977997919353;0.07268802917794606;0.9006102200208065
45;LOS FELIZ NC;0.05111816390475124;0.18181818181818182;0.18629550321199145;0.25757575757575757;0.038461538461538464;0.14285714285714285;0.19444444444444442;0.0;0.11764705882352941;0.0;0.14285714285714285;0.0;0.2;0.0;0.336734693877551;0.2857142857142857;0.4545454545454546;0.1258792292284521;0.5960682536302978;0.8741207707715479
46;MACARTHUR PARK NC;0.9473712876279541;0.030303030303030304;0.10492505353319058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09523809523809523;0.0;0.0;0.0;0.04591836734693877;0.08571428571428572;0.18181818181818182;0.11396984612518052;0.0;0.8860301538748194
47;MAR VISTA NC;0.24424717243318053;0.030303030303030304;0.1948608137044968;0.30303030303030304;0.038461538461538464;0.0;0.3611111111111111;0.0;0.0;0.0;0.09523809523809523;0.3333333333333333;0.1;0.0;0.18877551020408162;0.34285714285714286;0.5454545454545454;0.11699765538872414;0.5568474827479497;0.8830023446112758
48;NOHO NC;0.2875582382613069;0.18181818181818182;0.16274089935760172;0.15151515151515152;0.01282051282051282;0.5714285714285714;0.1111111111111111;0.0;0.0;0.1;0.11904761904761904;0.0;0.1;0.15151515151515152;0.1530612244897959;0.34285714285714286;0.4545454545454546;0.2521000574507399;0.21978339446597597;0.7478999425492601
